iter	RMSE
0	1.096295498
1	1.040414279
2	0.9905355504
3	0.9473511078
4	0.9084165629
5	0.8740931476
6	0.8395944191
7	0.8131231883
8	0.7851265498
9	0.7632339488
10	0.742782896
11	0.7262459837
12	0.7102067881
13	0.6946328868
14	0.6827302522
15	0.6712171432
16	0.6572818119
17	0.6493080614
18	0.6386090081
19	0.6291624777
20	0.622355228
21	0.6175770345
22	0.612090921
23	0.6051359502
24	0.6007610758
25	0.5960357638
26	0.5903153034
27	0.5870758996
28	0.5826769059
29	0.5785512257
30	0.5760249734
31	0.5724533391
32	0.5694778391
33	0.5662498701
34	0.5637336817
35	0.5607982072
36	0.5589339964
37	0.5559966058
38	0.5529234085
39	0.5494435993
40	0.5478878788
41	0.54526131
42	0.5432939762
43	0.5411286831
44	0.5388267115
45	0.5370496454
46	0.5353733627
47	0.5341470909
48	0.5320027574
49	0.52992306
50	0.528841568
51	0.5272913623
52	0.5257070119
53	0.5249531594
54	0.5231013189
55	0.5217055007
56	0.5207714627
57	0.5200844089
58	0.5185176396
59	0.5172629956
60	0.5160438757
61	0.51468712
62	0.5139910703
63	0.5120773671
64	0.5115526904
65	0.5104568029
66	0.5095963534
67	0.5087408581
68	0.5079148698
69	0.5073507407
70	0.506048352
71	0.5054341876
72	0.50501813
73	0.5039915403
74	0.5026516847
75	0.5017122891
76	0.5007306799
77	0.5000148109
78	0.4991974114
79	0.4984949046
80	0.4977086673
81	0.496226283
82	0.4954416739
83	0.494299364
84	0.4928730289
85	0.4914029623
86	0.4905791353
87	0.4893848094
88	0.4883181673
89	0.4875470069
90	0.4867483067
91	0.4861193019
92	0.4854588772
93	0.4848396549
94	0.4841458776
95	0.4834686512
96	0.4826790424
97	0.4818082015
98	0.4808666989
99	0.479776286
100	0.4788640085
101	0.4780606617
102	0.4776539907
103	0.4769520008
104	0.4762467558
105	0.4755442201
106	0.4748887588
107	0.4740517013
108	0.4730514794
109	0.4726543308
110	0.4718065406
111	0.4712486151
112	0.4704926252
113	0.469687468
114	0.4691453596
115	0.46746764
116	0.467013109
117	0.4663830017
118	0.4657397057
119	0.4644030942
120	0.4636281747
121	0.4630336644
122	0.4624898498
123	0.4619415373
124	0.4614053019
125	0.4609003691
126	0.4600769777
127	0.4593880649
128	0.4587615906
129	0.4582385032
130	0.4573512512
131	0.4569095561
132	0.4564284929
133	0.4557548177
134	0.4550421171
135	0.4545267064
136	0.4539072324
137	0.4526587341
138	0.4521686885
139	0.4515672693
140	0.451147005
141	0.4505894853
142	0.4501578081
143	0.4496004431
144	0.4488873492
145	0.4483865093
146	0.4479187354
147	0.4473650677
148	0.4469365214
149	0.4464174757
150	0.4459896889
151	0.4452099075
152	0.4447797241
153	0.4444062467
154	0.4435436406
155	0.4430047245
156	0.4422503666
157	0.4416833294
158	0.441281749
159	0.4406463495
160	0.439998638
161	0.4396825904
162	0.4392896578
163	0.4388214797
164	0.4384163915
165	0.4377624856
166	0.4373253283
167	0.4366993861
168	0.4359337547
169	0.4353326003
170	0.4349968918
171	0.4345349853
172	0.4341016101
173	0.4338126781
174	0.4333472301
175	0.4327911053
176	0.4323455307
177	0.4320454192
178	0.4315201109
179	0.4310602737
180	0.4306811369
181	0.4300315312
182	0.4296044093
183	0.4289130957
184	0.4283987583
185	0.4280722294
186	0.4277247186
187	0.4274988222
188	0.4269005131
189	0.4263492862
190	0.4259569715
191	0.4254896791
192	0.4250899653
193	0.4248828209
194	0.4241028099
195	0.4235518778
196	0.4233111511
197	0.422702099
198	0.4223214813
199	0.4218787472
200	0.4214127322
201	0.4211081457
202	0.4207883576
203	0.420472344
204	0.4201034971
205	0.4193973939
206	0.4189729639
207	0.4186493154
208	0.4181487662
209	0.4177133361
210	0.4173729462
211	0.4169698804
212	0.4165632128
213	0.4161169189
214	0.4153503664
215	0.4150005008
216	0.4146496704
217	0.4142376068
218	0.4138304629
219	0.4135476222
220	0.4131909688
221	0.4128079846
222	0.4123308169
223	0.4120645583
224	0.4117999487
225	0.4115727664
226	0.4110560218
227	0.410738025
228	0.4104381024
229	0.4102218561
230	0.4098797591
231	0.4095441818
232	0.409130475
233	0.4086416437
234	0.4081985003
235	0.4078256606
236	0.4073120527
237	0.4071135075
238	0.4068350821
239	0.4065456966
240	0.4061481071
241	0.4059111078
242	0.405500071
243	0.4052084438
244	0.404864082
245	0.4045742895
246	0.4042318638
247	0.4040848371
248	0.403807822
249	0.4035376937
250	0.4031711926
251	0.40303444
252	0.4028412569
253	0.4023160614
254	0.4017673678
255	0.401103205
256	0.4007504934
257	0.4004762512
258	0.3999321074
259	0.3996290496
260	0.3993432278
261	0.399068998
262	0.3987646955
263	0.3985338191
264	0.3980237027
265	0.3977142722
266	0.3973893395
267	0.3969950429
268	0.3968455396
269	0.3966778529
270	0.3964321437
271	0.3961248491
272	0.3956689191
273	0.3954316951
274	0.3951169517
275	0.3949636362
276	0.3948321358
277	0.3945203218
278	0.3942937031
279	0.3939599696
280	0.3937025652
281	0.3933286004
282	0.3930674844
283	0.3926850272
284	0.3924532779
285	0.3919883019
286	0.3916627913
287	0.3914155136
288	0.3912707562
289	0.3909225616
290	0.3906800504
291	0.3903166282
292	0.3900802095
293	0.3897925461
294	0.3894733733
295	0.3891436754
296	0.3889084249
297	0.3884961534
298	0.3882882707
299	0.3880080817
300	0.3877887321
301	0.3876346071
302	0.3874189973
303	0.3870977229
304	0.3864774032
305	0.3863162346
306	0.3860338985
307	0.3857400543
308	0.3854735327
309	0.3853269513
310	0.384867152
311	0.3845230567
312	0.3842536637
313	0.3839846977
314	0.3837440417
315	0.3834763711
316	0.3832107296
317	0.3828674633
318	0.382658975
319	0.3824372577
320	0.3821340671
321	0.3819279516
322	0.3817586256
323	0.38163459
324	0.3814134376
325	0.3810613742
326	0.3808475716
327	0.3805630591
328	0.3803363176
329	0.3800720665
330	0.3797135085
331	0.3793709177
332	0.379138066
333	0.3788886322
334	0.3786640913
335	0.3783776577
336	0.3781614625
337	0.3777918596
338	0.3775840759
339	0.3772992918
340	0.3770625914
341	0.3769320297
342	0.3766664038
343	0.3763990227
344	0.3761460052
345	0.3757946634
346	0.3755892659
347	0.3753788885
348	0.375205779
349	0.375045534
350	0.3748697808
351	0.3746480412
352	0.374452884
353	0.3742980104
354	0.3741002084
355	0.3738875474
356	0.3735712949
357	0.3732437401
358	0.3728405064
359	0.3722868625
360	0.3720151691
361	0.3717886618
362	0.3715004875
363	0.3712916131
364	0.3710798554
365	0.3708847995
366	0.3707315719
367	0.3705109049
368	0.3703443094
369	0.370044021
370	0.3698199862
371	0.3694321083
372	0.3690971053
373	0.3688509227
374	0.3686647838
375	0.3684728321
376	0.368323595
377	0.3681263215
