iter	Passed	Remaining
0	2	2577
1	5	2339
2	7	2180
3	9	2068
4	11	2027
5	12	1956
6	15	1950
7	16	1868
8	17	1802
9	19	1762
10	20	1724
11	22	1701
12	24	1684
13	25	1660
14	27	1648
15	28	1625
16	30	1611
17	32	1599
18	33	1590
19	35	1579
20	36	1567
21	38	1564
22	40	1561
23	41	1556
24	43	1546
25	44	1537
26	46	1534
27	48	1532
28	50	1529
29	51	1532
30	54	1543
31	55	1535
32	57	1525
33	58	1518
34	60	1510
35	61	1510
36	63	1508
37	65	1505
38	66	1503
39	68	1497
40	69	1491
41	71	1486
42	73	1480
43	74	1477
44	76	1476
45	78	1475
46	79	1468
47	80	1462
48	82	1456
49	83	1452
50	85	1449
51	87	1445
52	88	1443
53	90	1443
54	92	1438
55	93	1435
56	95	1431
57	96	1427
58	98	1422
59	99	1420
60	101	1417
61	102	1415
62	104	1411
63	105	1408
64	107	1405
65	109	1403
66	110	1400
67	112	1398
68	113	1394
69	115	1393
70	117	1391
71	118	1389
72	120	1387
73	121	1384
74	123	1382
75	125	1380
76	126	1377
77	128	1375
78	129	1372
79	131	1372
80	133	1371
81	134	1369
82	136	1368
83	137	1364
84	139	1363
85	141	1361
86	142	1360
87	144	1357
88	146	1355
89	147	1353
90	149	1351
91	150	1347
92	152	1346
93	153	1344
94	155	1342
95	157	1340
96	158	1338
97	160	1335
98	161	1332
99	163	1329
100	164	1327
101	166	1326
102	167	1323
103	169	1321
104	171	1321
105	172	1318
106	174	1316
107	175	1315
108	177	1312
109	178	1309
110	180	1307
111	181	1304
112	183	1301
113	185	1300
114	186	1299
115	188	1297
116	189	1294
117	191	1292
118	192	1289
119	194	1288
120	196	1287
121	197	1284
122	199	1282
123	200	1280
124	202	1280
125	204	1278
126	205	1276
127	207	1274
128	208	1272
129	210	1271
130	212	1270
131	213	1268
132	215	1265
133	216	1264
134	218	1262
135	219	1259
136	221	1258
137	223	1257
138	224	1256
139	226	1253
140	227	1251
141	229	1249
142	231	1247
143	232	1245
144	234	1243
145	235	1242
146	237	1240
147	238	1238
148	240	1237
149	242	1235
150	243	1233
151	245	1232
152	247	1231
153	248	1230
154	250	1228
155	252	1226
156	253	1225
157	255	1224
158	257	1223
159	259	1222
160	260	1221
161	262	1219
162	263	1217
163	266	1218
164	267	1216
165	269	1215
166	271	1214
167	272	1213
168	274	1212
169	276	1211
170	277	1209
171	279	1208
172	281	1207
173	283	1206
174	285	1205
175	286	1203
176	288	1203
177	290	1201
178	292	1201
179	293	1200
180	295	1199
181	297	1198
182	299	1198
183	301	1196
184	303	1195
185	304	1194
186	306	1193
187	308	1191
188	309	1190
189	312	1191
190	314	1190
191	315	1189
192	317	1188
193	319	1186
194	325	1202
195	328	1204
196	329	1202
197	331	1200
198	333	1199
199	334	1196
200	336	1195
201	338	1194
202	339	1191
203	341	1190
204	343	1188
205	344	1186
206	346	1184
207	347	1182
208	349	1180
209	350	1177
210	352	1175
211	354	1173
212	355	1172
213	357	1170
214	359	1169
215	360	1167
216	362	1165
217	363	1163
218	365	1162
219	367	1160
220	368	1158
221	371	1159
222	373	1158
223	374	1156
224	376	1154
225	378	1153
226	379	1151
227	381	1149
228	383	1147
229	384	1146
230	386	1145
231	388	1143
